time	V(1)	V(20)
Step Information: Amplitude=30m Frequency=1K  (Step: 1/36)
6.148943369311043e-04	-1.982441e-02	-2.210046e-01
6.383318369311043e-04	-2.291370e-02	-2.514935e-01
6.617693369311043e-04	-2.550697e-02	-2.769637e-01
6.852068369311043e-04	-2.754810e-02	-2.968653e-01
7.066912119311044e-04	-2.889612e-02	-3.098474e-01
7.281755869311044e-04	-2.971839e-02	-3.175522e-01
7.496599619311044e-04	-2.999993e-02	-3.198400e-01
7.711443369311044e-04	-2.973564e-02	-3.166694e-01
7.926287119311044e-04	-2.893031e-02	-3.080986e-01
8.160662119311045e-04	-2.745220e-02	-2.927760e-01
8.395037119311045e-04	-2.537984e-02	-2.715472e-01
8.629412119311045e-04	-2.275808e-02	-2.448727e-01
8.863787119311045e-04	-1.964367e-02	-2.133319e-01
9.098162119311045e-04	-1.610404e-02	-1.776114e-01
9.332537119311046e-04	-1.221581e-02	-1.384925e-01
9.586443369311046e-04	-7.707931e-03	-9.329049e-02
9.879412119311046e-04	-2.270854e-03	-3.920405e-02
9.957537119311046e-04	-8.003115e-04	-2.495237e-02
9.996599619311046e-04	-6.409562e-05	-1.813114e-02
1.001613086931105e-03	3.040545e-04	-1.492241e-02
1.003566211931105e-03	6.721588e-04	-1.196379e-02
1.005519336931105e-03	1.040162e-03	-9.316645e-03
1.006554718118089e-03	1.235186e-03	-8.103676e-03
1.007414509569687e-03	1.397097e-03	-7.244670e-03
1.008149222248308e-03	1.535421e-03	-6.601861e-03
1.009393924492025e-03	1.769685e-03	-5.674262e-03
1.011629579321760e-03	2.190174e-03	-4.202119e-03
1.012210312017685e-03	2.299333e-03	-3.765890e-03
1.012929969050860e-03	2.434561e-03	-3.154703e-03
1.013980153209680e-03	2.631809e-03	-2.126293e-03
1.015933278209680e-03	2.998338e-03	3.387099e-05
1.020291286965933e-03	3.814464e-03	5.224906e-03
1.020686675108972e-03	3.888376e-03	5.763942e-03
1.020872124426935e-03	3.923035e-03	6.061283e-03
1.021061283578292e-03	3.958382e-03	6.416726e-03
1.021252343298616e-03	3.994078e-03	6.834519e-03
1.021431509782338e-03	4.027547e-03	7.293347e-03
1.021587960001017e-03	4.056768e-03	7.761065e-03
1.021731636675885e-03	4.083600e-03	8.256384e-03
1.021973979943227e-03	4.128851e-03	9.258167e-03
1.022175474451450e-03	4.166467e-03	1.028279e-02
1.022401956608017e-03	4.208740e-03	1.164643e-02
1.022667480542180e-03	4.258289e-03	1.351841e-02
1.023048878870015e-03	4.329441e-03	1.655029e-02
1.023585915185804e-03	4.429585e-03	2.084706e-02
1.024020411501919e-03	4.510571e-03	2.388220e-02
1.024381709314636e-03	4.577889e-03	2.603975e-02
1.024595454210226e-03	4.617703e-03	2.709584e-02
1.024908187016315e-03	4.675940e-03	2.838980e-02
1.025481118211139e-03	4.782584e-03	3.024748e-02
1.026576617814157e-03	4.986325e-03	3.288983e-02
1.031158549774973e-03	5.835802e-03	4.170954e-02
1.046746889657474e-03	8.685429e-03	7.040590e-02
1.066278139657474e-03	1.213516e-02	1.048640e-01
1.085809389657474e-03	1.540236e-02	1.373787e-01
1.105340639657474e-03	1.843791e-02	1.675029e-01
1.126825014657474e-03	2.145505e-02	1.973539e-01
1.148309389657474e-03	2.408183e-02	2.232446e-01
1.169793764657474e-03	2.627045e-02	2.447073e-01
1.191278139657474e-03	2.798108e-02	2.613534e-01
1.212762514657474e-03	2.918261e-02	2.728815e-01
1.234246889657474e-03	2.985317e-02	2.790828e-01
1.255731264657474e-03	2.998055e-02	2.798453e-01
1.277215639657474e-03	2.956245e-02	2.751559e-01
1.298700014657474e-03	2.860647e-02	2.651008e-01
1.320184389657474e-03	2.712999e-02	2.498639e-01
1.341668764657474e-03	2.515990e-02	2.297237e-01
1.363153139657474e-03	2.273203e-02	2.050484e-01
1.384637514657474e-03	1.989056e-02	1.762899e-01
1.406121889657474e-03	1.668718e-02	1.439770e-01
1.425653139657474e-03	1.350990e-02	1.120219e-01
